service_id,mapping_id,gm_num,service_name,price,deal_id,car_id
7154,1642503161,1735004076209,GoMechanic Car Air Purifier,2499,13,1
7153,1642503172,1735002076220,GoMechanic Wireless Charging UV Box,1599,13,1
7152,1642503163,1735001076211,GoMechanic Super Vacuum Cleaner,1599,13,1
7151,1642503160,1735000076208,GoMechanic Handy Tyre Inflator,2999,13,1
7202,1642503164,1735000076212,Gusto T1 Car Tyre Inflator,1999,13,1
7203,1642503165,1735000076213,Gusto T3 Handheld Car Tyre Inflator,2999,13,1
7204,1642503166,1735000076214,Gusto T5 Heavy-Duty Car Tyre Inflator,2399,13,1
7300,1642503167,1735000076215,Gusto T1 Car Tyre Inflator,1999,13,1
7301,1642503168,1735000076216,Gusto T3 Handheld Car Tyre Inflator,2299,13,1
7302,1642503169,1735000076217,Gusto T5 Tyre Inflator,2399,13,1
7303,1642503170,1735001076218,Neutron 6000 Vacuum Cleaner,1599,13,1
7304,1642503171,1735001076219,Neutron 4500 Vacuum Cleaner,949,13,1
7334,1642503173,1735002076221,Brevi B1 Anti-Skid Wireless Charging Pad,1399,13,1
7335,1642503174,1735002076222,Brevi B2 Wireless Mobile Charger Holder (Red),1449,13,1
7336,1642503175,1735002076223,Brevi B1 Wireless Mobile Charger Holder (Black),1449,13,1
